high date,high close,next high date,next high close,date diff,close diff,close diff (%),last high,remaining highs,min days no high
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,2,20
1972-03-08,108.959999,1972-04-05,109.0,28.0,0.04,0.037000000000000005,1,4,20
1972-04-12,110.18,1972-05-24,110.309998,42.0,0.13,0.11800000000000001,1,2,20
1972-05-26,110.660004,1972-08-08,110.690002,74.0,0.03,0.027000000000000003,1,4,20
1972-08-14,112.550003,1972-11-01,112.669998,79.0,0.12,0.107,1,15,20
1972-12-11,119.120003,1973-01-03,119.57,23.0,0.45,0.37799999999999995,1,2,20
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,16,20
1980-10-15,133.699997,1980-11-12,134.589996,28.0,0.89,0.6659999999999999,1,6,20
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,1,20
1982-11-09,143.020004,1983-01-06,145.270004,58.0,2.25,1.5730000000000002,1,1,20
1983-01-10,146.779999,1983-02-07,146.929993,28.0,0.15,0.102,1,10,20
1983-03-07,153.669998,1983-04-11,155.139999,35.0,1.47,0.9570000000000001,1,11,20
1983-05-25,166.21000700000005,1983-06-15,167.119995,21.0,0.91,0.547,1,3,20
1983-06-22,170.990005,1983-10-10,172.649994,110.0,1.66,0.971,1,0,20
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,12,20
1985-02-13,183.350006,1985-04-25,183.429993,71.0,0.08,0.044000000000000004,1,8,20
1985-06-06,191.059998,1985-06-27,191.229996,21.0,0.17,0.08900000000000001,1,7,20
1985-07-17,195.649994,1985-11-11,197.279999,117.0,1.63,0.833,1,12,20
1985-12-16,212.020004,1986-01-07,213.800003,22.0,1.78,0.84,1,0,20
1986-01-07,213.800003,1986-02-03,213.960007,27.0,0.16,0.075,1,14,20
1986-03-27,238.970001,1986-04-16,242.220001,20.0,3.25,1.36,1,2,20
1986-04-21,244.740005,1986-05-27,244.75,36.0,0.01,0.004,1,2,20
1986-05-29,247.979996,1986-06-25,248.929993,27.0,0.95,0.38299999999999995,1,4,20
1986-07-02,252.699997,1986-08-26,252.839996,55.0,0.14,0.055,1,2,20
1986-09-04,253.830002,1986-12-02,254.0,89.0,0.17,0.067,1,0,20
1986-12-02,254.0,1987-01-07,255.330002,36.0,1.33,0.524,1,26,20
1987-04-06,301.950012,1987-06-15,303.140015,70.0,1.19,0.39399999999999996,1,5,20
1987-06-22,309.649994,1987-07-14,310.679993,22.0,1.03,0.33299999999999996,1,13,20
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,7,20
1989-09-01,353.730011,1989-10-03,354.709991,32.0,0.98,0.27699999999999997,1,4,20
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,4,20
1990-06-04,367.399994,1990-07-16,368.950012,42.0,1.55,0.42200000000000004,1,0,20
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,4,20
1991-03-05,376.720001,1991-04-02,379.5,28.0,2.78,0.738,1,5,20
1991-04-17,390.450012,1991-08-06,390.619995,111.0,0.17,0.044000000000000004,1,3,20
1991-08-28,396.640015,1991-11-12,396.73999,76.0,0.1,0.025,1,1,20
1991-11-13,397.410004,1991-12-24,399.329987,41.0,1.92,0.483,1,8,20
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,3,20
1992-08-03,425.089996,1992-09-14,425.269989,42.0,0.18,0.042,1,0,20
1992-09-14,425.269989,1992-11-20,426.64999400000005,67.0,1.38,0.325,1,8,20
1992-12-18,441.279999,1993-02-01,442.519989,45.0,1.24,0.281,1,3,20
1993-02-04,449.55999800000006,1993-03-08,454.709991,32.0,5.15,1.146,1,1,20
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,5,20
1993-08-31,463.55999800000006,1993-10-14,466.829987,44.0,3.27,0.705,1,1,20
1993-10-15,469.5,1993-12-27,470.540009,73.0,1.04,0.222,1,6,20
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,50,20
1995-07-27,565.219971,1995-09-05,569.169983,40.0,3.95,0.6990000000000001,1,9,20
1995-09-20,586.77002,1995-10-17,586.780029,27.0,0.01,0.002,1,2,20
1995-10-19,590.650024,1995-11-08,591.710022,20.0,1.06,0.179,1,12,20
1995-12-13,621.6900019999998,1996-01-29,624.219971,47.0,2.53,0.40700000000000003,1,9,20
1996-02-12,661.450012,1996-05-13,661.51001,91.0,0.06,0.009000000000000001,1,5,20
1996-05-24,678.51001,1996-09-13,680.539978,112.0,2.03,0.299,1,22,20
1996-11-25,757.030029,1997-01-10,759.5,46.0,2.47,0.326,1,14,20
1997-02-18,816.289978,1997-05-05,830.289978,76.0,14.0,1.715,1,24,20
1997-08-06,960.320007,1997-10-02,960.460022,57.0,0.14,0.015,1,3,20
1997-10-07,983.119995,1997-12-05,983.789978,59.0,0.67,0.068,1,0,20
1997-12-05,983.789978,1998-01-29,985.48999,55.0,1.7,0.17300000000000001,1,31,20
1998-04-22,1130.540039,1998-06-24,1132.880005,63.0,2.34,0.207,1,8,20
1998-07-17,1186.75,1998-11-23,1188.209961,129.0,1.46,0.12300000000000001,1,1,20
1998-11-27,1192.329956,1998-12-21,1202.839966,24.0,10.51,0.8809999999999999,1,6,20
1999-01-08,1275.089966,1999-01-29,1279.640015,21.0,4.55,0.35700000000000004,1,0,20
1999-01-29,1279.640015,1999-03-08,1282.72998,38.0,3.09,0.24100000000000002,1,14,20
1999-05-13,1367.560059,1999-06-30,1372.709961,48.0,5.15,0.377,1,6,20
1999-07-16,1418.780029,1999-11-16,1420.069946,123.0,1.29,0.091,1,8,20
1999-12-31,1469.25,2000-03-21,1493.869995,81.0,24.62,1.676,1,3,20
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,3,20
2007-06-04,1539.180054,2007-07-12,1547.699951,38.0,8.52,0.5539999999999999,1,2,20
2007-07-19,1553.079956,2007-10-05,1557.589966,78.0,4.51,0.29,1,1,20
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,16,20
2013-05-21,1669.160034,2013-07-11,1675.02002,51.0,5.86,0.35100000000000003,1,7,20
2013-08-02,1709.6700440000004,2013-09-18,1725.52002,47.0,15.85,0.927,1,0,20
2013-09-18,1725.52002,2013-10-17,1733.1500239999998,29.0,7.63,0.442,1,19,20
2014-01-15,1848.380005,2014-02-27,1854.290039,43.0,5.91,0.32,1,4,20
2014-03-07,1878.040039,2014-04-01,1885.52002,25.0,7.48,0.39799999999999996,1,1,20
2014-04-02,1890.900024,2014-05-12,1896.650024,40.0,5.75,0.304,1,16,20
2014-07-03,1985.439941,2014-07-23,1987.01001,20.0,1.57,0.079,1,1,20
2014-07-24,1987.97998,2014-08-21,1992.369995,28.0,4.39,0.221,1,6,20
2014-09-18,2011.359985,2014-10-31,2018.050049,43.0,6.69,0.33299999999999996,1,18,20
2014-12-29,2090.570068,2015-02-13,2096.98999,46.0,6.42,0.307,1,4,20
2015-03-02,2117.389893,2015-04-24,2117.689941,53.0,0.3,0.013999999999999999,1,0,20
2015-04-24,2117.689941,2015-05-14,2121.100098,20.0,3.41,0.161,1,3,20
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,9,20
2016-08-15,2190.149902,2016-11-21,2198.179932,98.0,8.03,0.36700000000000005,1,7,20
2016-12-13,2271.719971,2017-01-06,2276.97998,24.0,5.26,0.23199999999999998,1,12,20
2017-03-01,2395.959961,2017-05-05,2399.290039,65.0,3.33,0.139,1,10,20
2017-06-19,2453.459961,2017-07-14,2459.27002,25.0,5.81,0.237,1,5,20
2017-08-07,2480.909912,2017-09-11,2488.110107,35.0,7.2,0.29,1,45,20
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,3,20
2018-08-29,2914.040039,2018-09-20,2930.75,22.0,16.71,0.573,1,0,20
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,3,20
2019-04-30,2945.830078,2019-06-20,2954.179932,51.0,8.35,0.28300000000000003,1,8,20
2019-07-26,3025.860107,2019-10-28,3039.419922,94.0,13.56,0.44799999999999995,1,35,20
1928-01-03,17.76,1928-03-09,17.93,66.0,0.17,0.9570000000000001,1,18,30
1928-05-14,20.440001,1928-08-28,20.540001,106.0,0.1,0.489,1,34,30
1928-11-30,24.280001,1928-12-31,24.35,31.0,0.07,0.28800000000000003,1,8,30
1929-02-01,25.84,1929-03-15,26.08,42.0,0.24,0.929,1,0,30
1929-03-15,26.08,1929-05-02,26.110001,48.0,0.03,0.115,1,1,30
1929-05-03,26.370001,1929-06-17,26.41,45.0,0.04,0.152,1,33,30
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,22,30
1955-01-03,36.75,1955-02-04,36.959999,32.0,0.21,0.5710000000000001,1,6,30
1955-03-04,37.52,1955-04-12,37.66,39.0,0.14,0.373,1,6,30
1955-04-21,38.32,1955-06-03,38.369999,43.0,0.05,0.13,1,17,30
1955-07-27,43.759998,1955-09-06,43.860001,41.0,0.1,0.22899999999999998,1,10,30
1955-09-23,45.630001,1955-11-14,46.41,52.0,0.78,1.709,1,0,30
1955-11-14,46.41,1956-03-09,46.700001,116.0,0.29,0.625,1,6,30
1956-03-20,48.869999,1956-07-16,49.139999,118.0,0.27,0.552,1,8,30
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,28,30
1959-01-21,56.040001,1959-03-03,56.25,41.0,0.21,0.375,1,4,30
1959-03-13,56.669998,1959-04-14,56.709999,32.0,0.04,0.071,1,7,30
1959-05-29,58.68,1959-07-01,58.970001,33.0,0.29,0.494,1,7,30
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,30
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,30
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,9,30
1963-10-28,74.480003,1963-12-17,74.739998,50.0,0.26,0.349,1,40,30
1964-05-12,81.160004,1964-06-25,81.209999,44.0,0.05,0.062,1,12,30
1964-07-17,84.010002,1964-09-25,84.209999,70.0,0.2,0.23800000000000002,1,8,30
1964-10-12,85.239998,1964-11-16,85.650002,35.0,0.41,0.48100000000000004,1,3,30
1964-11-20,86.279999,1965-01-18,86.489998,59.0,0.21,0.243,1,9,30
1965-02-03,87.629997,1965-04-12,87.940002,68.0,0.31,0.354,1,14,30
1965-05-13,90.269997,1965-09-27,90.650002,137.0,0.38,0.42100000000000004,1,11,30
1965-11-15,92.629997,1966-01-05,92.849998,51.0,0.22,0.23800000000000002,1,8,30
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,2,30
1967-05-08,94.580002,1967-07-31,94.75,84.0,0.17,0.18,1,3,30
1967-08-04,95.830002,1967-09-13,95.989998,40.0,0.16,0.16699999999999998,1,6,30
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,14,30
1968-07-11,102.389999,1968-09-24,102.589996,75.0,0.2,0.195,1,18,30
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,7,30
1972-04-12,110.18,1972-05-24,110.309998,42.0,0.13,0.11800000000000001,1,2,30
1972-05-26,110.660004,1972-08-08,110.690002,74.0,0.03,0.027000000000000003,1,4,30
1972-08-14,112.550003,1972-11-01,112.669998,79.0,0.12,0.107,1,18,30
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,30
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,1,30
1982-11-09,143.020004,1983-01-06,145.270004,58.0,2.25,1.5730000000000002,1,12,30
1983-03-07,153.669998,1983-04-11,155.139999,35.0,1.47,0.9570000000000001,1,15,30
1983-06-22,170.990005,1983-10-10,172.649994,110.0,1.66,0.971,1,0,30
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,12,30
1985-02-13,183.350006,1985-04-25,183.429993,71.0,0.08,0.044000000000000004,1,16,30
1985-07-17,195.649994,1985-11-11,197.279999,117.0,1.63,0.833,1,31,30
1986-04-21,244.740005,1986-05-27,244.75,36.0,0.01,0.004,1,7,30
1986-07-02,252.699997,1986-08-26,252.839996,55.0,0.14,0.055,1,2,30
1986-09-04,253.830002,1986-12-02,254.0,89.0,0.17,0.067,1,0,30
1986-12-02,254.0,1987-01-07,255.330002,36.0,1.33,0.524,1,26,30
1987-04-06,301.950012,1987-06-15,303.140015,70.0,1.19,0.39399999999999996,1,19,30
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,7,30
1989-09-01,353.730011,1989-10-03,354.709991,32.0,0.98,0.27699999999999997,1,4,30
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,4,30
1990-06-04,367.399994,1990-07-16,368.950012,42.0,1.55,0.42200000000000004,1,0,30
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,10,30
1991-04-17,390.450012,1991-08-06,390.619995,111.0,0.17,0.044000000000000004,1,3,30
1991-08-28,396.640015,1991-11-12,396.73999,76.0,0.1,0.025,1,1,30
1991-11-13,397.410004,1991-12-24,399.329987,41.0,1.92,0.483,1,8,30
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,3,30
1992-08-03,425.089996,1992-09-14,425.269989,42.0,0.18,0.042,1,0,30
1992-09-14,425.269989,1992-11-20,426.64999400000005,67.0,1.38,0.325,1,8,30
1992-12-18,441.279999,1993-02-01,442.519989,45.0,1.24,0.281,1,3,30
1993-02-04,449.55999800000006,1993-03-08,454.709991,32.0,5.15,1.146,1,1,30
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,5,30
1993-08-31,463.55999800000006,1993-10-14,466.829987,44.0,3.27,0.705,1,1,30
1993-10-15,469.5,1993-12-27,470.540009,73.0,1.04,0.222,1,6,30
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,50,30
1995-07-27,565.219971,1995-09-05,569.169983,40.0,3.95,0.6990000000000001,1,25,30
1995-12-13,621.6900019999998,1996-01-29,624.219971,47.0,2.53,0.40700000000000003,1,9,30
1996-02-12,661.450012,1996-05-13,661.51001,91.0,0.06,0.009000000000000001,1,5,30
1996-05-24,678.51001,1996-09-13,680.539978,112.0,2.03,0.299,1,22,30
1996-11-25,757.030029,1997-01-10,759.5,46.0,2.47,0.326,1,14,30
1997-02-18,816.289978,1997-05-05,830.289978,76.0,14.0,1.715,1,24,30
1997-08-06,960.320007,1997-10-02,960.460022,57.0,0.14,0.015,1,3,30
1997-10-07,983.119995,1997-12-05,983.789978,59.0,0.67,0.068,1,0,30
1997-12-05,983.789978,1998-01-29,985.48999,55.0,1.7,0.17300000000000001,1,31,30
1998-04-22,1130.540039,1998-06-24,1132.880005,63.0,2.34,0.207,1,8,30
1998-07-17,1186.75,1998-11-23,1188.209961,129.0,1.46,0.12300000000000001,1,9,30
1999-01-29,1279.640015,1999-03-08,1282.72998,38.0,3.09,0.24100000000000002,1,14,30
1999-05-13,1367.560059,1999-06-30,1372.709961,48.0,5.15,0.377,1,6,30
1999-07-16,1418.780029,1999-11-16,1420.069946,123.0,1.29,0.091,1,8,30
1999-12-31,1469.25,2000-03-21,1493.869995,81.0,24.62,1.676,1,3,30
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,3,30
2007-06-04,1539.180054,2007-07-12,1547.699951,38.0,8.52,0.5539999999999999,1,2,30
2007-07-19,1553.079956,2007-10-05,1557.589966,78.0,4.51,0.29,1,1,30
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,16,30
2013-05-21,1669.160034,2013-07-11,1675.02002,51.0,5.86,0.35100000000000003,1,7,30
2013-08-02,1709.6700440000004,2013-09-18,1725.52002,47.0,15.85,0.927,1,20,30
2014-01-15,1848.380005,2014-02-27,1854.290039,43.0,5.91,0.32,1,6,30
2014-04-02,1890.900024,2014-05-12,1896.650024,40.0,5.75,0.304,1,25,30
2014-09-18,2011.359985,2014-10-31,2018.050049,43.0,6.69,0.33299999999999996,1,18,30
2014-12-29,2090.570068,2015-02-13,2096.98999,46.0,6.42,0.307,1,4,30
2015-03-02,2117.389893,2015-04-24,2117.689941,53.0,0.3,0.013999999999999999,1,4,30
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,9,30
2016-08-15,2190.149902,2016-11-21,2198.179932,98.0,8.03,0.36700000000000005,1,20,30
2017-03-01,2395.959961,2017-05-05,2399.290039,65.0,3.33,0.139,1,16,30
2017-08-07,2480.909912,2017-09-11,2488.110107,35.0,7.2,0.29,1,45,30
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,4,30
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,3,30
2019-04-30,2945.830078,2019-06-20,2954.179932,51.0,8.35,0.28300000000000003,1,8,30
2019-07-26,3025.860107,2019-10-28,3039.419922,94.0,13.56,0.44799999999999995,1,35,30
1928-01-03,17.76,1928-03-09,17.93,66.0,0.17,0.9570000000000001,1,18,40
1928-05-14,20.440001,1928-08-28,20.540001,106.0,0.1,0.489,1,43,40
1929-02-01,25.84,1929-03-15,26.08,42.0,0.24,0.929,1,0,40
1929-03-15,26.08,1929-05-02,26.110001,48.0,0.03,0.115,1,1,40
1929-05-03,26.370001,1929-06-17,26.41,45.0,0.04,0.152,1,33,40
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,36,40
1955-04-21,38.32,1955-06-03,38.369999,43.0,0.05,0.13,1,17,40
1955-07-27,43.759998,1955-09-06,43.860001,41.0,0.1,0.22899999999999998,1,10,40
1955-09-23,45.630001,1955-11-14,46.41,52.0,0.78,1.709,1,0,40
1955-11-14,46.41,1956-03-09,46.700001,116.0,0.29,0.625,1,6,40
1956-03-20,48.869999,1956-07-16,49.139999,118.0,0.27,0.552,1,8,40
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,28,40
1959-01-21,56.040001,1959-03-03,56.25,41.0,0.21,0.375,1,20,40
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,40
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,40
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,9,40
1963-10-28,74.480003,1963-12-17,74.739998,50.0,0.26,0.349,1,40,40
1964-05-12,81.160004,1964-06-25,81.209999,44.0,0.05,0.062,1,12,40
1964-07-17,84.010002,1964-09-25,84.209999,70.0,0.2,0.23800000000000002,1,12,40
1964-11-20,86.279999,1965-01-18,86.489998,59.0,0.21,0.243,1,9,40
1965-02-03,87.629997,1965-04-12,87.940002,68.0,0.31,0.354,1,14,40
1965-05-13,90.269997,1965-09-27,90.650002,137.0,0.38,0.42100000000000004,1,11,40
1965-11-15,92.629997,1966-01-05,92.849998,51.0,0.22,0.23800000000000002,1,8,40
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,2,40
1967-05-08,94.580002,1967-07-31,94.75,84.0,0.17,0.18,1,3,40
1967-08-04,95.830002,1967-09-13,95.989998,40.0,0.16,0.16699999999999998,1,6,40
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,14,40
1968-07-11,102.389999,1968-09-24,102.589996,75.0,0.2,0.195,1,18,40
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,7,40
1972-04-12,110.18,1972-05-24,110.309998,42.0,0.13,0.11800000000000001,1,2,40
1972-05-26,110.660004,1972-08-08,110.690002,74.0,0.03,0.027000000000000003,1,4,40
1972-08-14,112.550003,1972-11-01,112.669998,79.0,0.12,0.107,1,18,40
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,40
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,1,40
1982-11-09,143.020004,1983-01-06,145.270004,58.0,2.25,1.5730000000000002,1,28,40
1983-06-22,170.990005,1983-10-10,172.649994,110.0,1.66,0.971,1,0,40
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,12,40
1985-02-13,183.350006,1985-04-25,183.429993,71.0,0.08,0.044000000000000004,1,16,40
1985-07-17,195.649994,1985-11-11,197.279999,117.0,1.63,0.833,1,39,40
1986-07-02,252.699997,1986-08-26,252.839996,55.0,0.14,0.055,1,2,40
1986-09-04,253.830002,1986-12-02,254.0,89.0,0.17,0.067,1,27,40
1987-04-06,301.950012,1987-06-15,303.140015,70.0,1.19,0.39399999999999996,1,19,40
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,12,40
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,4,40
1990-06-04,367.399994,1990-07-16,368.950012,42.0,1.55,0.42200000000000004,1,0,40
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,10,40
1991-04-17,390.450012,1991-08-06,390.619995,111.0,0.17,0.044000000000000004,1,3,40
1991-08-28,396.640015,1991-11-12,396.73999,76.0,0.1,0.025,1,1,40
1991-11-13,397.410004,1991-12-24,399.329987,41.0,1.92,0.483,1,8,40
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,3,40
1992-08-03,425.089996,1992-09-14,425.269989,42.0,0.18,0.042,1,0,40
1992-09-14,425.269989,1992-11-20,426.64999400000005,67.0,1.38,0.325,1,8,40
1992-12-18,441.279999,1993-02-01,442.519989,45.0,1.24,0.281,1,5,40
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,5,40
1993-08-31,463.55999800000006,1993-10-14,466.829987,44.0,3.27,0.705,1,1,40
1993-10-15,469.5,1993-12-27,470.540009,73.0,1.04,0.222,1,6,40
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,50,40
1995-07-27,565.219971,1995-09-05,569.169983,40.0,3.95,0.6990000000000001,1,25,40
1995-12-13,621.6900019999998,1996-01-29,624.219971,47.0,2.53,0.40700000000000003,1,9,40
1996-02-12,661.450012,1996-05-13,661.51001,91.0,0.06,0.009000000000000001,1,5,40
1996-05-24,678.51001,1996-09-13,680.539978,112.0,2.03,0.299,1,22,40
1996-11-25,757.030029,1997-01-10,759.5,46.0,2.47,0.326,1,14,40
1997-02-18,816.289978,1997-05-05,830.289978,76.0,14.0,1.715,1,24,40
1997-08-06,960.320007,1997-10-02,960.460022,57.0,0.14,0.015,1,3,40
1997-10-07,983.119995,1997-12-05,983.789978,59.0,0.67,0.068,1,0,40
1997-12-05,983.789978,1998-01-29,985.48999,55.0,1.7,0.17300000000000001,1,31,40
1998-04-22,1130.540039,1998-06-24,1132.880005,63.0,2.34,0.207,1,8,40
1998-07-17,1186.75,1998-11-23,1188.209961,129.0,1.46,0.12300000000000001,1,24,40
1999-05-13,1367.560059,1999-06-30,1372.709961,48.0,5.15,0.377,1,6,40
1999-07-16,1418.780029,1999-11-16,1420.069946,123.0,1.29,0.091,1,8,40
1999-12-31,1469.25,2000-03-21,1493.869995,81.0,24.62,1.676,1,3,40
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,6,40
2007-07-19,1553.079956,2007-10-05,1557.589966,78.0,4.51,0.29,1,1,40
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,16,40
2013-05-21,1669.160034,2013-07-11,1675.02002,51.0,5.86,0.35100000000000003,1,7,40
2013-08-02,1709.6700440000004,2013-09-18,1725.52002,47.0,15.85,0.927,1,20,40
2014-01-15,1848.380005,2014-02-27,1854.290039,43.0,5.91,0.32,1,6,40
2014-04-02,1890.900024,2014-05-12,1896.650024,40.0,5.75,0.304,1,25,40
2014-09-18,2011.359985,2014-10-31,2018.050049,43.0,6.69,0.33299999999999996,1,18,40
2014-12-29,2090.570068,2015-02-13,2096.98999,46.0,6.42,0.307,1,4,40
2015-03-02,2117.389893,2015-04-24,2117.689941,53.0,0.3,0.013999999999999999,1,4,40
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,9,40
2016-08-15,2190.149902,2016-11-21,2198.179932,98.0,8.03,0.36700000000000005,1,20,40
2017-03-01,2395.959961,2017-05-05,2399.290039,65.0,3.33,0.139,1,62,40
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,4,40
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,3,40
2019-04-30,2945.830078,2019-06-20,2954.179932,51.0,8.35,0.28300000000000003,1,8,40
2019-07-26,3025.860107,2019-10-28,3039.419922,94.0,13.56,0.44799999999999995,1,35,40
1928-01-03,17.76,1928-03-09,17.93,66.0,0.17,0.9570000000000001,1,18,50
1928-05-14,20.440001,1928-08-28,20.540001,106.0,0.1,0.489,1,80,50
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,65,50
1955-09-23,45.630001,1955-11-14,46.41,52.0,0.78,1.709,1,0,50
1955-11-14,46.41,1956-03-09,46.700001,116.0,0.29,0.625,1,6,50
1956-03-20,48.869999,1956-07-16,49.139999,118.0,0.27,0.552,1,8,50
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,49,50
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,50
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,50
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,9,50
1963-10-28,74.480003,1963-12-17,74.739998,50.0,0.26,0.349,1,53,50
1964-07-17,84.010002,1964-09-25,84.209999,70.0,0.2,0.23800000000000002,1,12,50
1964-11-20,86.279999,1965-01-18,86.489998,59.0,0.21,0.243,1,9,50
1965-02-03,87.629997,1965-04-12,87.940002,68.0,0.31,0.354,1,14,50
1965-05-13,90.269997,1965-09-27,90.650002,137.0,0.38,0.42100000000000004,1,11,50
1965-11-15,92.629997,1966-01-05,92.849998,51.0,0.22,0.23800000000000002,1,8,50
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,2,50
1967-05-08,94.580002,1967-07-31,94.75,84.0,0.17,0.18,1,10,50
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,14,50
1968-07-11,102.389999,1968-09-24,102.589996,75.0,0.2,0.195,1,18,50
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,10,50
1972-05-26,110.660004,1972-08-08,110.690002,74.0,0.03,0.027000000000000003,1,4,50
1972-08-14,112.550003,1972-11-01,112.669998,79.0,0.12,0.107,1,18,50
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,50
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,1,50
1982-11-09,143.020004,1983-01-06,145.270004,58.0,2.25,1.5730000000000002,1,28,50
1983-06-22,170.990005,1983-10-10,172.649994,110.0,1.66,0.971,1,0,50
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,12,50
1985-02-13,183.350006,1985-04-25,183.429993,71.0,0.08,0.044000000000000004,1,16,50
1985-07-17,195.649994,1985-11-11,197.279999,117.0,1.63,0.833,1,39,50
1986-07-02,252.699997,1986-08-26,252.839996,55.0,0.14,0.055,1,2,50
1986-09-04,253.830002,1986-12-02,254.0,89.0,0.17,0.067,1,27,50
1987-04-06,301.950012,1987-06-15,303.140015,70.0,1.19,0.39399999999999996,1,19,50
